Date,Argentina,Australia,Austria,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,France,Germany,Hungary,Japan,Mexico,Netherlands,New Zealand,Norway,Paraguay,Peru,Poland,Russia,South Africa,Spain,Sweden,Switzerland,Ukraine,US,Uruguay
12/28/14,85,204,1602,254,109,127,650,7362,6,250,1161,83,2932,2317,90,21,145,149,112,37,707,922,2211,219,7,158,455,6220
12/21/14,79,191,1450,214,109,128,525,6266,4,173,1066,87,2522,2380,82,23,93,166,94,35,693,833,2123,104,4,100,436,6911
12/14/14,80,164,1436,175,113,133,470,4856,4,113,1093,81,1180,2109,78,23,89,186,101,35,658,753,1952,59,6,96,424,5234
12/7/14,88,179,1360,189,131,136,503,3725,6,78,1069,67,570,1848,57,19,72,202,113,35,685,789,2095,56,6,92,455,3046
11/30/14,92,188,1222,156,145,138,408,2892,6,58,993,66,338,1678,40,20,63,208,124,34,660,678,2043,40,5,85,469,2287
11/23/14,99,165,1246,123,170,137,502,2578,5,38,956,65,186,1611,34,22,64,227,129,31,622,647,2174,24,5,76,443,1784
11/16/14,101,197,1205,112,167,156,495,2548,5,32,949,61,111,1598,34,29,70,268,125,30,617,617,2346,20,4,84,430,1549
11/9/14,105,233,1165,85,146,148,569,2505,7,24,972,62,67,1501,32,28,70,236,134,33,662,618,2321,16,4,77,421,1379
11/2/14,107,275,1101,103,176,153,556,2554,7,25,991,58,47,1524,30,35,81,234,133,35,722,648,2351,15,5,78,474,1374
10/26/14,110,311,1018,77,205,159,506,2271,7,23,941,63,34,1423,29,41,105,236,127,35,722,625,2325,20,4,52,477,1224
10/19/14,124,318,1062,92,190,170,534,2269,9,25,939,58,24,1330,27,38,113,258,129,34,724,656,2639,30,4,62,506,1349
10/12/14,130,346,1066,88,210,170,598,2243,11,26,921,58,18,1316,31,52,97,243,137,36,748,713,2878,37,4,53,523,1352
10/5/14,127,415,1123,78,193,168,585,2004,12,26,910,58,14,1241,29,55,117,237,118,37,733,791,2999,18,4,46,547,1291
9/28/14,141,511,1064,61,199,165,384,1809,12,20,792,60,12,1158,27,63,90,253,135,32,696,836,2832,12,4,45,544,1192
9/21/14,152,741,1064,48,202,178,310,1750,15,17,746,70,10,1165,32,79,71,251,141,24,606,873,3042,10,3,48,571,1164
9/14/14,155,981,984,52,186,188,237,1648,16,10,643,64,9,1205,34,95,65,284,143,13,582,823,3567,5,3,48,547,1229
9/7/14,154,1370,775,45,223,193,215,1208,15,5,587,40,7,1104,31,115,77,322,145,9,567,604,3786,4,4,49,441,1096
8/31/14,165,1611,659,29,197,196,202,915,15,3,515,32,6,982,28,139,78,325,141,8,566,424,3681,4,4,46,370,948
8/24/14,183,2071,603,21,244,219,188,858,17,3,444,35,6,908,25,159,60,375,142,8,569,298,3902,5,4,41,290,827
8/17/14,209,2338,568,21,222,217,175,791,16,4,415,32,5,820,19,159,36,368,148,8,546,281,4309,5,2,32,249,808
8/10/14,198,2387,491,14,203,203,172,830,17,3,345,28,5,829,16,176,25,311,141,8,515,264,4365,4,2,32,222,762
