Location	2010 Population	2014 Population
New York City	8,008,686	8,175,133
Albany County	294,571	304,204
Albany city	94,444	97,856
Berne town	2,853	2,794
Bethlehem town	31,338	33,656
Coeymans town	8,161	7,418
Cohoes city	15,607	16,168
Colonie town	79,327	81,591
Green Island town	2,283	2,620
Guilderland town	34,045	35,303
Knox town	2,647	2,692
New Scotland town	8,588	8,648
Rensselaerville town	1,915	1,843
Watervliet city	9,904	10,254
Westerlo town	3,459	3,361
Allegany County	49,927	48,946
Alfred town	5,140	5,237
Allen town	462	448
Alma town	847	842
Almond town	1,604	1,633
Amity town	2,245	2,308
Andover town	1,945	1,830
Angelica town	1,411	1,403
Belfast town	1,714	1,663
Birdsall town	268	221
Bolivar town	2,223	2,189
Burns town	1,248	1,180
Caneadea town	2,694	2,542
Centerville town	762	822
Clarksville town	1,146	1,161
Cuba town	3,392	3,243
Friendship town	1,927	2,004
Genesee town	1,803	1,693
Granger town	577	538
Grove town	533	548
Hume town	1,987	2,071
Independence town	1,074	1,167
New Hudson town	736	781
Oil Springs Reservation	0	1
Rushford town	1,259	1,150
Scio town	1,914	1,833
Ward town	390	368
Wellsville town	7,678	7,397
West Almond town	353	334
Willing town	1,371	1,228
Wirt town	1,215	1,111
Bronx County	1,332,652	1,385,108
Broome County	200,536	200,600
Barker town	2,738	2,732
Binghamton city	47,380	47,376
Binghamton town	4,969	4,942
Chenango town	11,454	11,252
Colesville town	5,441	5,232
Conklin town	5,940	5,441
Dickinson town	5,335	5,278
Fenton town	6,909	6,674
Kirkwood town	5,651	5,857
Lisle town	2,707	2,751
Maine town	5,459	5,377
Nanticoke town	1,790	1,672
Sanford town	2,477	2,407
Triangle town	3,032	2,946
Union town	56,266	56,346
Vestal town	26,567	28,043
Windsor town	6,421	6,274
Cattaraugus County	83,955	80,317
Allegany town	8,230	8,004
Allegany Reservation	1,099	1,020
Ashford town	2,223	2,132
Carrollton town	1,410	1,297
Cattaraugus Reservation	0	314
Coldspring town	751	663
Conewango town	1,732	1,857
Dayton town	1,945	1,886
East Otto town	1,105	1,062
Ellicottville town	1,738	1,598
Farmersville town	1,028	1,090
Franklinville town	3,128	2,990
Freedom town	2,493	2,405
Great Valley town	2,145	1,974
Hinsdale town	2,270	2,168
Humphrey town	721	687
