Project	Effective Year	County	ESD Region
H.	2014	Albany	Capital District
Peter Pan Live	2014	Nassau	Long Island
Sisters (fka The Nest)	2014	Nassau	Long Island
Confidence Game	2014	Queens	Long Island
Allegiance S. 1	2014	Queens	Long Island
Public Morals Season 1	2014	Queens	Long Island
LaGravenese Pilot	2014	Queens	Long Island
Girls Season 4	2014	Queens	Long Island
White Collar Season 6	2014	Queens	Long Island
Manhattan Love Story - Season 1	2014	Queens	Long Island
Mysteries of Laura Season 1	2014	Queens	Long Island
Elementary Season 3	2014	Queens	Long Island
Person of Interest Season 4	2014	Queens	Long Island
Mysteries of Laura	2014	Queens	Long Island
Dead Boss Pilot	2014	Queens	Long Island
Manhattan Love Story Pilot	2014	Queens	Long Island
Eleven Fifty-Five Holyoke	2014	Orange	Mid-Hudson
"App, The"	2014	Orange	Mid-Hudson
Sweet Darling	2014	Orange	Mid-Hudson
King Jack	2014	Ulster	Mid-Hudson
I Dream Too Much	2014	Ulster	Mid-Hudson
Ticket	2014	Ulster	Mid-Hudson
No Beast so Fierce (fka Kill for Me)	2014	Ulster	Mid-Hudson
No Letting Go	2014	Westchester	Mid-Hudson
Grief of Others	2014	Westchester	Mid-Hudson
Leftovers Season 1	2014	Westchester	Mid-Hudson
BoardWalk Empire Season 5	2014	Westchester	Mid-Hudson
Crazy House  Pilot	2014	Westchester	Mid-Hudson
ADK	2014	Franklin	North Country
Gotham 2014 Pilot	2014	Kings	NYC
In Stereo	2014	Kings	NYC
Time Out Of Mind	2014	Kings	NYC
Still Alice	2014	Kings	NYC
Sharknado 2	2014	Kings	NYC
Burning Bride	2014	Kings	NYC
Bad Hurt	2014	Kings	NYC
GET HAPPY	2014	Kings	NYC
ALONE	2014	Kings	NYC
Ten Thousand Saints	2014	Kings	NYC
Life of an Actress	2014	Kings	NYC
Trainwreck	2014	Kings	NYC
Half Magic	2014	Kings	NYC
Adderall Diaries	2014	Kings	NYC
Ava's Possessions	2014	Kings	NYC
Experimenter	2014	Kings	NYC
Third Street Blackout	2014	Kings	NYC
No Pay Nudity	2014	Kings	NYC
Chapter and Verse	2014	Kings	NYC
Michael	2014	Kings	NYC
Following Season 3 (14/15)	2014	Kings	NYC
Bridge of Spies (fka St.James Place)	2014	Kings	NYC
Xmas	2014	Kings	NYC
Anomalous	2014	Kings	NYC
Seasons of Love	2014	Kings	NYC
Lily of the Feast	2014	Kings	NYC
Breathe	2014	Kings	NYC
Fan Girl	2014	Kings	NYC
Meadowland	2014	Kings	NYC
FREEHELD	2014	Kings	NYC
White Girl	2014	Kings	NYC
Mad Women	2014	Kings	NYC
Essential Ingredients	2014	Kings	NYC
Bloodline	2014	Kings	NYC
POWER Season 2	2014	Kings	NYC
Daughter of God	2014	Kings	NYC
Kid Witness	2014	Kings	NYC
Three Generations	2014	Kings	NYC
In the Dark	2014	Kings	NYC
Stealing Chanel	2014	Kings	NYC
Wild Men	2014	Kings	NYC
Crow Hill	2014	Kings	NYC
You Were Never Here	2014	Kings	NYC
Billy&Billie	2014	Kings	NYC
Lords of Magic	2014	Kings	NYC
Lennon Report	2014	Kings	NYC
Manhattan Nocturne	2014	Kings	NYC
Codes of Conduct Pilot	2014	Kings	NYC
We Only Know So Much	2014	Kings	NYC
DeadBeat - Season 2	2014	Kings	NYC
Seventy Two Hours: A Brooklyn Love Story?	2014	Kings	NYC
Doll & Em - Season 2	2014	Kings	NYC
URGE	2014	Kings	NYC
Happyish Season 1	2014	Kings	NYC
Seven Lovers	2014	Kings	NYC
"Pastor, The"	2014	Kings	NYC
"Inherited, The"	2014	Kings	NYC
Great Gilly Hopkins	2014	Kings	NYC
Asher	2014	Kings	NYC
Sleeping with Other People	2014	Kings	NYC
Brown Nation	2014	Kings	NYC
Flesh and Bone	2014	Kings	NYC
Condemned	2014	Kings	NYC
Ned Rifle	2014	Kings	NYC
When I Live My Life Over Again	2014	Kings	NYC
Babylon Fields Pilot 2	2014	Kings	NYC
I Smile Back	2014	Kings	NYC
Heaven Knows What	2014	Kings	NYC
BoyFriendz Pilot	2014	Kings	NYC
It Had to Be You	2014	Kings	NYC
Jack of the Red Hearts	2014	Kings	NYC
