County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,FMNP,Operating Months,Latitude,Longitude,EBT/SNAP,Location Points
Albany,Altamont Farmers' Market,"Altamont Free Library, 181 Main St.",181 Main Street,Altamont,NY,12009,Kelly Best,5188618554,,"Mon-Fri  11am-6pm, Sat/Sun  10am-2pm",July 1-September 1,Y,M,42.70149,-74.03254,Y,"Altamont, NY 12009
(42.70149, -74.03254)"
Albany,Altamont Orchards Farmstand,"6654 Dunnsville Road, Altamont",6654 Dunnsville Road,Altamont,NY,12009,Jim Abbruzzese,5188616515,http://www.altamontorchards.com,"Daily  9:30am-5pm, Closed all of August",May 1-December 24,Y,P/M/X,42.720708,-74.01624,N,"Altamont, NY 12009
(42.720708, -74.01624)"
Albany,Boys and Girls Club Farmers' Market,"21 Delaware Ave., Albany",21 Delaware Ave.,Albany,NY,12208,Sarah Holbrook,8452498507,http://www.stewardshipfarms.com,Thursday  3pm-5pm,July 16-October 8,Y,M,42.651673,-73.768378,Y,"Albany, NY 12208
(42.651673, -73.768378)"
Albany,CDPHP Farmers' Market,"CDPHP prkg lot, off Washington Ave., 500 Patroon Creek Blvd., Albany",500 Patroon Creek Bvld.,Albany,NY,12206,Randy Tryon,5186415611,http://www.cdphp.com,Thursday  11am-1:30pm,May 28-October 8,Y,P/M,42.68485,-73.80513,N,"Albany, NY 12206
(42.68485, -73.80513)"
Albany,Colonie Crossings Farmers' Market,"580 Albany Shaker Rd., Loudonville",580 Albany Shaker Rd,Colonie,NY,12211,Laura Archambault,5184562136,http://www.colonie.org,Saturday  9am-1pm,May 16-September 12,Y,P/M,42.71016,-73.78029,N,"Colonie, NY 12211
(42.71016, -73.78029)"
Albany,Delaware Neighborhood Comm. Market,"Delaware Branch Library, 331 Delaware Ave., Albany",331 Delaware Ave,Albany,NY,12209,Louise McNeilly,5184320516,,"Jun-Oct: Tues 4p-7p, Oct-Nov: Tues 3p-6p",June 23-November 17,Y,M,42.64305,-73.77824,Y,"Albany, NY 12209
(42.64305, -73.77824)"
Albany,Delmar Farmers' Market,"Bethlehem Central Middle School, 332 Kenwood Avenue",332 Kenwood Avenue,Delmar,NY,12054,Paul Tick,5182104727,http://www.delmarmarket.org,Saturday  9am-1pm,May 30-December 19,Y,P/M/X,42.61953,-73.82515,N,"Delmar, NY 12054
(42.61953, -73.82515)"
Albany,Delmar Tuesday Farmers' Market,"First United Methodist Church Lot, 428 Kenwood Ave.",428 Kenwood Ave,Delmar,NY,12054,Frank Stanton,5187568228,,Tuesday  2:30pm-6pm,May 5-November 24,Y,P/M,42.62265,-73.83631,Y,"Delmar, NY 12054
(42.62265, -73.83631)"
Albany,Downtown Albany Farmers' Market,"SUNY Plaza, 353 Broadway",SUNY Administration Plaza Park,Albany,NY,12207,Frank Stanton,5187568228,http://www.suny.edu/suny-news/press-releases/june-2014/6-12-14-farmers-market/year-round-farmers-market-comes-to-suny-plaza.html,"Thursday  10am-2pm ,  (11am-2pm in Winter)",Year-round,Y,YR,42.64807,-73.75018,Y,"Albany, NY 12207
(42.64807, -73.75018)"
Albany,Empire State Plaza Friday Farmers' Market,Empire State Plaza,Empire State Plaza,Albany,NY,12210,Jason Rumpf,5184732982,http://www.ogs.ny.gov,Friday  10am-2pm,May 6-October 9,Y,M,42.64994,-73.76089,Y,"Albany, NY 12210
(42.64994, -73.76089)"
Albany,Empire State Plaza Wed Farmers' Market,Empire State Plaza,Empire State Plaza,Albany,NY,12210,Jason Rumpf,5184732982,http://www.ogs.ny.gov,Wednesday  10am-2pm,Year-round,Y,YR,42.64994,-73.76089,Y,"Albany, NY 12210
(42.64994, -73.76089)"
Albany,Farm to Preschool III Farmers' Market,"Cohoes Community Center, 22-40 Remsen St.",22-40 Remsen Street,Cohoes,NY,12047,Darlene Yule,5184267181,http://www.cdcccc.org,Mon  2:30pm-5:30pm,June 15 - September 14,Y,M,42.7756,-73.70149,Y,"Cohoes, NY 12047
(42.7756, -73.70149)"
